,Id,Source Article,Authors,Referenced Article,Venue,Year
0,0,3287560.3287572,"Yossi Adi, Einat Kermany, Yonatan Belinkov, Ofer Lavi, and Yoav Goldberg",Fine-grained analysis of sentence embeddings using auxiliary prediction tasks,arXiv preprint arXiv:1608.04207 (2016),2016
1,0,3287560.3287572,"Kristen M Altenburger, Rajlakshmi De, Kaylyn Frazier, Nikolai Avteniev, and Jim Hamilton",Are There Gender Differences in Professional Self-Promotion? An Empirical Case Study of LinkedIn Profiles Among Recent MBA Graduates,In ICWSM. 460–463,2017
2,0,3287560.3287572,Ian Ayres,Outcome tests of racial disparities in police practices,"Justice research and Policy 4, 1-2 (2002), 131–142",2002
3,0,3287560.3287572,Solon Barocas and Andrew D Selbst,Big data’s disparate impact,"Cal. L. Rev. 104 (2016), 671",2016
4,0,3287560.3287572,Marianne Bertrand and Esther Duflo,Field Experiments on Discrimination,"In Handbook of Economic Field Experiments. Vol. 1. Elsevier, 309–393",2017
5,0,3287560.3287572,Marianne Bertrand and Sendhil Mullainathan,Are Emily and Greg more employable than Lakisha and Jamal? A field experiment on labor market discrimination,"American economic review 94, 4 (2004), 991–1013",2004
6,0,3287560.3287572,"Asia J Biega, Krishna PGummadi, andGerhardWeikum",Equity of Attention: Amortizing Individual Fairness in Rankings,arXiv preprint arXiv:1805.01788 (2018),2018
7,0,3287560.3287572,Su Lin Blodgett and Brendan O’Connor,Racial Disparity in Natural Language Processing: A Case Study of Social Media African-American English,arXiv preprint arXiv:1707.00061 (2017),2017
8,0,3287560.3287572,"Piotr Bojanowski, Edouard Grave, Armand Joulin, and Tomas Mikolov",Enriching Word Vectors with Subword Information,"Transactions of the Association for Computational Linguistics 5 (2017), 135–146",2017
9,0,3287560.3287572,"Tolga Bolukbasi, Kai-Wei Chang, James Y Zou, Venkatesh Saligrama, and Adam T Kalai",Man is to computer programmer as woman is to homemaker? debiasing word embeddings,InAdvances in Neural Information Processing Systems. 4349–4357,2016
10,0,3287560.3287572,Victoria L Brescoll,"Who takes the floor and why: Gender, power, and volubility in organizations","Administrative Science Quarterly 56, 4 (2011), 622– 641",2011
11,0,3287560.3287572,Toon Calders and Indrė Žliobaitė,Why unbiased computational processes can lead to discriminative decision procedures,"In Discrimination and privacy in the information society. Springer, 43–57",2013
12,0,3287560.3287572,"Aylin Caliskan, Joanna J Bryson, and Arvind Narayanan",Semantics derived automatically from language corpora contain human-like biases,"Science 356, 6334 (2017), 183–186",2017
13,0,3287560.3287572,"L Elisa Celis, Damian Straszak, and Nisheeth K Vishnoi",Ranking with fairness constraints,"In Proceedings of the International Colloquium on Automata, Languages, and Programming",2018
14,0,3287560.3287572,"Na Cheng, Rajarathnam Chandramouli, and KP Subbalakshmi",Author gender identification from text,"Digital Investigation 8, 1 (2011), 78–88",2011
15,0,3287560.3287572,"Junyoung Chung, Caglar Gulcehre, KyungHyun Cho, and Yoshua Bengio",Empirical evaluation of gated recurrent neural networks on sequence modeling,arXiv preprint arXiv:1412.3555 (2014),2014
16,0,3287560.3287572,"Lucas Dixon, John Li, Jeffrey Sorensen, Nithum Thain, and Lucy Vasserman",Measuring and Mitigating Unintended Bias in Text Classification,(2017),2017
17,0,3287560.3287572,"Cynthia Dwork, Moritz Hardt, Toniann Pitassi, Omer Reingold, and Richard Zemel",Fairness through awareness,"In Proceedings of the 3rd innovations in theoretical computer science conference. ACM, 214–226",2012
18,0,3287560.3287572,Cynthia Dwork and Christina Ilvento,Fairness Under Composition,arXiv preprint arXiv:1806.06122 (2018),2018
19,0,3287560.3287572,"Cynthia Dwork, Nicole Immorlica, Adam Tauman Kalai, and Mark DM Leiserson",Decoupled classifiers for group-fair and efficient machine learning,"In Conference on Fairness, Accountability and Transparency. 119–133",2018
20,0,3287560.3287572,"Nikhil Garg, Londa Schiebinger, Dan Jurafsky, and James Zou",Word embeddings quantify 100 years of gender and ethnic stereotypes,"Proceedings of the National Academy of Sciences 115, 16 (2018), E3635–E3644",2018
21,0,3287560.3287572,Sahin Cem Geyik and Krishnaram Kenthapadi. October,Building Representative Talent Search at LinkedIn,"(October 2018). LinkedIn engineering blog post, Available at https://engineering.linkedin.com/blog/2018/10/ building-representative-talent-search-at-linkedin",2018
22,0,3287560.3287572,Donna K Ginther and Shulamit Kahn,"Women in economics: Moving up or falling off the academic career ladder? Journal of Economic perspectives 18, 3 (2004), 193–214",,2004
23,0,3287560.3287572,Claudia Goldin and Cecilia Rouse,"Orchestrating impartiality: The impact of"" blind"" auditions on female musicians","American economic review 90, 4 (2000), 715–741",2000
24,0,3287560.3287572,"Moritz Hardt, Eric Price, and Nati Srebro",Equality of opportunity in supervised learning,In Advances in neural information processing systems. 3315– 3323,2016
25,0,3287560.3287572,Deborah Hellman,Indirect Discrimination and the Duty to Avoid Compounding Injustice,"Foundations of Indirect Discrimination Law, Forthcoming (2018)",2018
26,0,3287560.3287572,"Niki Kilbertus, Mateo Rojas Carulla, Giambattista Parascandolo, Moritz Hardt, Dominik Janzing, and Bernhard Schölkopf",Avoiding discrimination through causal reasoning,In Advances in Neural Information Processing Systems. 656–666,2017
27,0,3287560.3287572,Pauline T Kim,Data-driven discrimination at work,"Wm. & Mary L. Rev. 58 (2016), 857",2016
28,0,3287560.3287572,"Jon Kleinberg, Jens Ludwig, Sendhil Mullainathan, and Ashesh Rambachan",Algorithmic fairness,"In AEA Papers and Proceedings, Vol. 108. 22–27",2018
29,0,3287560.3287572,"Moshe Koppel, Shlomo Argamon, and Anat Rachel Shimoni",Automatically categorizing written texts by author gender,"Literary and Linguistic Computing 17, 4 (2002), 401–412",2002
30,0,3287560.3287572,"Tomas Mikolov, Edouard Grave, Piotr Bojanowski, Christian Puhrsch, and Armand Joulin",Advances in Pre-Training Distributed Word Representations,In Proceedings of the International Conference on Language Resources and Evaluation (LREC 2018),2018
31,0,3287560.3287572,David Niven and Jeremy Zilber,Do women and men in congress cultivate different images? Evidence from congressional web sites,"Political Communication 18, 4 (2001), 395–405",2001
32,0,3287560.3287572,Devin G Pope and Justin R Sydnor,Implementing anti-discrimination policies in statistical profiling models,"American Economic Journal: Economic Policy 3, 3 (2011), 206–31",2011
33,0,3287560.3287572,"Rachel Rudinger, Jason Naradowsky, Brian Leonard, and Benjamin Van Durme",Gender bias in coreference resolution,arXiv preprint arXiv:1804.09301 (2018),2018
